gid,role,role_score,cluster_id,priority_score,evidence,depth,is_seed,source,in_degree,out_degree,in_sum,out_sum,boundary_censored
100000000011452100,consolidator,0.51671313,0,0.59140751,Признаки консолидации: 3 отправителей  110 000 KZT входящих  1 получателей.,1,False,real,3,1,110000.00000000,16685.00000000,False
100000000018102100,peripheral,0.45500000,1,0.08599684,Недостаточно признаков: 1 отправителей  0 получателей; 1 наблюдаемых участий в переводах. Depth=4: обрыв наблюдения.,4,False,real,1,0,7000.00000000,0.00000000,True
100000000031787100,peripheral,1.00000000,2,0.37180975,Недостаточно признаков: 1 отправителей  2 получателей; 6 наблюдаемых участий в переводах.,2,False,real,1,2,90000.00000000,90000.00000000,False
100000000041368100,terminal,0.52394557,3,0.30734357,Наблюдаемый получатель: вход 160 000 KZT от 1 отправителей; исходящий поток 0 KZT. Полный баланс неизвестен.,1,False,real,1,0,160000.00000000,0.00000000,False
100000000076451100,distributor,0.35370397,4,0.57256014,Признаки распределения: 4 получателей  58 000 KZT исходящих; 4 переводов.,2,False,real,3,4,87707.00000000,58000.00000000,False
100000000089154100,distributor,0.82427949,5,0.73959647,Признаки распределения: 15 получателей  425 500 KZT исходящих; 21 переводов.,1,False,real,1,15,10000.00000000,425500.00000000,False
100000000190228100,peripheral,0.65000000,6,0.22427697,Недостаточно признаков: 1 отправителей  1 получателей; 2 наблюдаемых участий в переводах.,2,False,real,1,1,5000.00000000,28560.00000000,False
100000000201868100,transit,0.58760000,4,0.42014001,Признаки транзита: 1 отправителей → 1 получателей; 100% входящих сопоставлены с более поздними исходящими за ≤2 суток.,2,False,real,1,1,190000.00000000,190000.00000000,False
100000000254336100,transit,0.54474176,7,0.55851388,Признаки транзита: 2 отправителей → 1 получателей; 62% входящих сопоставлены с более поздними исходящими за ≤2 суток.,3,False,real,2,1,97177.00000000,60000.00000000,False
100000000267734100,distributor,0.57572095,2,0.55213320,Признаки распределения: 7 получателей  282 000 KZT исходящих; 8 переводов.,1,False,real,2,7,180000.00000000,282000.00000000,False
100000000274067100,peripheral,0.33634411,2,0.41852959,Недостаточно признаков: 2 отправителей  3 получателей; 18 наблюдаемых участий в переводах.,1,False,real,2,3,517704.00000000,2969000.00000000,False
100000000287768100,terminal,0.46936148,0,0.22203707,Наблюдаемый получатель: вход 35 168 KZT от 1 отправителей; исходящий поток 0 KZT. Полный баланс неизвестен.,3,False,real,1,0,35168.00000000,0.00000000,False
100000000288317100,peripheral,0.34871533,1,0.43257553,Недостаточно признаков: 2 отправителей  3 получателей; 5 наблюдаемых участий в переводах.,3,False,real,2,3,100000.00000000,53500.00000000,False
100000000291906100,peripheral,1.00000000,8,0.51828228,Недостаточно признаков: 2 отправителей  2 получателей; 9 наблюдаемых участий в переводах.,2,False,real,2,2,388000.00000000,455854.00000000,False
100000000291908100,terminal,0.80908064,8,0.53456955,Наблюдаемый получатель: вход 295 500 KZT от 1 отправителей; исходящий поток 13 300 KZT. Полный баланс неизвестен.,3,False,real,1,1,295500.00000000,13300.00000000,False
100000000297649100,peripheral,1.00000000,9,0.47092274,Недостаточно признаков: 1 отправителей  1 получателей; 3 наблюдаемых участий в переводах.,2,False,real,1,1,40000.00000000,70600.00000000,False
100000000299820100,peripheral,0.45500000,0,0.09206938,Недостаточно признаков: 1 отправителей  0 получателей; 1 наблюдаемых участий в переводах. Depth=4: обрыв наблюдения.,4,False,real,1,0,10000.00000000,0.00000000,True
